"","sample_id","project","locus","seqdepth_ok","artefact_type","nb_reads_postmetabaR","nb_motus_postmetabaR"
"465","ADE_21_00397","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",121275,65
"466","ADE_21_00398","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",133729,58
"467","ADE_21_00399","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",110599,39
"468","ADE_21_00400","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",57512,17
"469","ADE_21_00401","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",136746,53
"470","ADE_21_00402","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",121642,45
"471","ADE_21_00403","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",142660,44
"472","ADE_21_00404","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",119935,38
"473","ADE_21_00405","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",25132,17
"474","ADE_21_00407","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",138669,68
"475","ADE_21_00408","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",87800,58
"476","ADE_21_00409","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",78677,25
"477","ADE_21_00410","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",76506,40
"478","ADE_21_00411","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",129725,53
"479","ADE_21_00412","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",77666,27
"480","ADE_21_00413","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",238439,45
"481","ADE_21_00414","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",110556,21
"482","ADE_21_00415","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",67803,62
"483","ADE_21_00416","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",94455,32
"484","ADE_21_00417","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",124071,34
"485","ADE_21_00418","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",65927,35
"486","ADE_21_00419","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",52246,31
"487","ADE_21_00420","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",49285,35
"488","ADE_21_00421","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",84758,34
"489","ADE_21_00422","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",99347,46
"490","ADE_21_00423","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",125866,51
"491","ADE_21_00424","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",84647,41
"492","ADE_21_00425","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",78273,45
"493","ADE_21_00426","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",79552,60
"494","ADE_21_00427","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",128941,53
"495","ADE_21_00428","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",27365,15
"496","ADE_21_00429","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",113911,35
"497","ADE_21_00430","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",169721,40
"498","ADE_21_00431","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",99613,50
"499","ADE_21_00432","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",96217,25
"500","ADE_21_00433","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",92878,50
"501","ADE_21_00434","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",128663,73
"502","ADE_21_00435","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",78389,65
"503","ADE_21_00436","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",70127,40
"504","ADE_21_00437","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",104246,49
"505","ADE_21_00438","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",80366,68
"506","ADE_21_00439","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",3374,10
"507","ADE_21_00440","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",115636,57
"508","ADE_21_00441","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",33780,18
"509","ADE_21_00442","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",79640,81
"511","ADE_21_00444","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",158951,74
"512","ADE_21_00445","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",71011,70
"513","ADE_21_00446","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",70027,47
"514","ADE_21_00447","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",52836,52
"515","ADE_21_00448","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",26527,33
"516","ADE_21_00449","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",25473,22
"517","ADE_21_00450","PPO.Godbout.2021","MiFishU",FALSE,"Low sequencing depth",425,1
"518","ADE_21_00451","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",134607,62
"519","ADE_21_00452","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",88187,73
"520","ADE_21_00453","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",107325,45
"521","ADE_21_00454","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",129511,56
"522","ADE_21_00456","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",82972,63
"523","ADE_21_00457","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",59478,42
"524","ADE_21_00458","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",90332,72
"525","ADE_21_00459","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",101016,48
"526","ADE_21_00460","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",80293,20
"527","ADE_21_00461","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",110942,41
"529","ADE_21_00463","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",80816,26
"530","ADE_21_00464","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",93396,36
"531","ADE_21_00465","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",59831,35
"532","ADE_21_00466","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",72906,40
"533","ADE_21_00467","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",93588,39
"534","ADE_21_00468","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",99448,17
"535","ADE_21_00469","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",81561,16
"537","ADE_21_00471","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",109957,36
"538","ADE_21_00472","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",141122,42
"539","ADE_21_00473","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",131856,34
"540","ADE_21_00474","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",54641,45
"541","ADE_21_00475","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",91092,66
"542","ADE_21_00476","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",129601,38
"543","ADE_21_00477","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",10656,21
"544","ADE_21_00478","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",73531,17
"545","ADE_21_00479","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",3015,1
"546","ADE_21_00480","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",82669,25
"547","ADE_21_00481","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",61758,34
"548","ADE_21_00482","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",16009,23
"549","ADE_21_00483","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",22696,6
"551","ADE_21_00485","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",117269,54
"552","ADE_21_00486","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",81197,38
"553","ADE_21_00487","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",107696,22
"554","ADE_21_00488","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",36243,87
"555","ADE_21_00489","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",65953,36
"556","ADE_21_00490","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",62697,60
"557","ADE_21_00491","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",7393,30
"559","ADE_21_00493","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",128512,79
"561","ADE_21_00496","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",64619,40
"562","ADE_21_00497","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",26668,62
"563","ADE_21_00498","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",67473,76
"564","ADE_21_00499","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",62025,59
"565","ADE_21_00500","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",85436,30
"566","ADE_21_00501","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",6885,2
"567","ADE_21_00502","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",58672,15
"568","ADE_21_00503","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",88237,27
"569","ADE_21_00504","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",48790,41
"570","ADE_21_00506","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",30976,16
"571","ADE_21_00507","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",71111,13
"572","ADE_21_00508","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",37070,29
"573","ADE_21_00509","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",51369,26
"574","ADE_21_00510","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",67298,19
"575","ADE_21_00511","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",104946,27
"576","ADE_21_00512","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",103036,49
"577","ADE_21_00513","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",87410,25
"578","ADE_21_00514","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",1027,2
"579","ADE_21_00515","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",133508,20
"580","ADE_21_00516","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",54424,49
"581","ADE_21_00517","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",71969,60
"582","ADE_21_00518","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",144241,90
"583","ADE_21_00519","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",99024,38
"584","ADE_21_00520","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",122669,39
"585","ADE_21_00521","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",107000,31
"586","ADE_21_00522","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",116298,21
"587","ADE_21_00523","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",35917,7
"588","ADE_21_00524","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",101286,21
"589","ADE_21_00525","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",119946,40
"590","ADE_21_00526","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",140151,46
"591","ADE_21_00527","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",80720,30
"592","ADE_21_00528","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",44492,31
"593","ADE_21_00529","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",42987,26
"594","ADE_21_00530","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",60035,28
"595","ADE_21_00531","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",108901,38
"596","ADE_21_00532","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",60922,24
"597","ADE_21_00533","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",66606,23
"598","ADE_21_00534","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",119625,34
"599","ADE_21_00535","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",117463,24
"601","ADE_21_00537","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",106885,42
"602","ADE_21_00538","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",99042,32
"603","ADE_21_00539","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",106756,27
"604","ADE_21_00541","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",36986,18
"605","ADE_21_00542","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",69196,49
"606","ADE_21_00543","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",109162,55
"607","ADE_21_00544","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",78228,25
"608","ADE_21_00545","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",43268,21
"609","ADE_21_00546","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",99670,27
"610","ADE_21_00547","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",24701,42
"611","ADE_21_00548","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",46079,31
"612","ADE_21_00549","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",58422,38
"613","ADE_21_00550","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",128804,45
"614","ADE_21_00551","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",119956,68
"615","ADE_21_00552","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",36786,33
"616","ADE_21_00553","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",122888,27
"617","ADE_21_00554","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",173599,29
"618","ADE_21_00555","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",60696,19
"619","ADE_21_00556","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",99932,97
"620","ADE_21_00557","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",49194,13
"621","ADE_21_00558","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",104834,25
"622","ADE_21_00559","PPO.Godbout.2021","MiFishU",TRUE,"Not artefactual",63159,36
