"","class.index","Mantel.cor","Pr.Mantel","Pr.corrected","distance","Signif"
"1",3.46153846153846,0.0829647935939496,0.006,0.006,"Depth|2D","yes"
"2",6.92307692307692,-0.0271080686413724,0.12,0.24,"Depth|2D","no"
"3",10.3846153846154,-0.0176010090473518,0.216,0.648,"Depth|2D","no"
"4",13.8461538461538,-0.0050119615707842,0.385,1.54,"Depth|2D","no"
"5",17.3076923076923,-0.0214447390265362,0.166,0.83,"Depth|2D","no"
"6",20.7692307692308,0.00194831883557351,0.447,2.682,"Depth|2D","no"
"7",24.2307692307692,-0.0220872014755381,0.122,0.854,"Depth|2D","no"
"8",27.6923076923077,-0.0148428632064841,0.267,2.136,"Depth|2D","no"
"9",31.1538461538462,0.0255848427693119,0.147,1.323,"Depth|2D","no"
"10",34.6153846153846,-0.00780725070214913,0.37,3.7,"Depth|2D","no"
"11",38.0769230769231,-0.030272852297814,0.101,1.111,"Depth|2D","no"
"12",41.5384615384615,-0.0322994273726661,0.066,0.792,"Depth|2D","no"
"13",46,0.0265975275993447,0.117,1.521,"Depth|2D","no"
"14",2010.95524301661,-0.0202136721714714,0.31,0.31,"2D|Depth","no"
"15",4021.91048603322,0.032521442488459,0.141,0.282,"2D|Depth","no"
"16",6032.86572904983,0.0369218329292278,0.082,0.246,"2D|Depth","no"
"17",8043.82097206644,0.0204553445245623,0.314,1.256,"2D|Depth","no"
"18",10054.776215083,0.0776230413817683,0.002,0.01,"2D|Depth","yes"
"19",12065.7314580997,-0.00172152709946541,0.465,2.79,"2D|Depth","no"
"20",14076.6867011163,-0.0274660136722987,0.165,1.155,"2D|Depth","no"
"21",16087.6419441329,-0.0298394415925066,0.209,1.672,"2D|Depth","no"
"22",18098.5971871495,-0.0263983791807679,0.156,1.404,"2D|Depth","no"
"23",20109.5524301661,-0.0280420294519909,0.081,0.81,"2D|Depth","no"
"24",22120.5076731827,-0.0146814861635715,0.228,2.508,"2D|Depth","no"
"25",24131.4629161993,-0.0258011522295601,0.115,1.38,"2D|Depth","no"
"26",26143.4181592159,-0.0531165665635377,0.011,0.143,"2D|Depth","no"
"27",2011.87859205857,0.0423092686864786,0.162,0.162,"3D","no"
"28",4022.75718411714,0.0450190070603432,0.069,0.138,"3D","no"
"29",6033.63577617571,0.0221808565658167,0.237,0.711,"3D","no"
"30",8044.51436823428,-0.0140264104172939,0.34,1.36,"3D","no"
"31",10055.3929602929,0.057070690370758,0.028,0.14,"3D","no"
"32",12066.2715523514,-0.0258847445075335,0.203,1.218,"3D","no"
"33",14077.15014441,-0.0458447753645986,0.089,0.623,"3D","no"
"34",16088.0287364686,-0.0516801087410815,0.09,0.72,"3D","no"
"35",18098.9073285271,-0.0279262938785691,0.154,1.386,"3D","no"
"36",20109.7859205857,-0.025219867693006,0.085,0.85,"3D","no"
"37",22120.6645126443,-0.0168147803618853,0.203,2.233,"3D","no"
"38",24131.5431047029,-0.0270230767702084,0.104,1.248,"3D","no"
"39",26143.4216967614,-0.0530367897779337,0.018,0.234,"3D","no"
